setpoint,kp,ki,kd,mae,oscillations,overshoot_pct
4082.809572338722,0.008076788680720514,0.0070370030243640394,0.006009939273687386,1075.298165236711,4,0
3924.588378776884,0.0076889443962143795,0.008364814087506143,0.005242365884767618,994.5254131385599,2,0
3864.0327166211496,0.008648602463003157,0.007745592563123273,0.006039592387317795,954.7683937463123,4,0
3851.002899339928,0.007009081213244648,0.008084991146637271,0.004666149752632331,1079.2732848321054,2,0
3986.8698003922336,0.007162154095740625,0.008572945961524497,0.003348829232876751,1252.609010702872,1,0
3943.825456658779,0.008672288233365555,0.008826720679756239,0.006113638904551995,1117.6126543059415,3,0
3914.063612425744,0.008735212113888334,0.00844513531190018,0.00458161866420533,1105.2444425583087,3,0
4123.25734822894,0.00866035936298954,0.008442476917093105,0.004535436210135949,1233.9478176595796,3,0
4033.7106716497724,0.008763003998387862,0.007313381358727506,0.004819909152425216,928.0896804701828,3,0
3873.545866418316,0.007352733875991474,0.008764770448219807,0.005795593215519116,1061.7366822960423,2,0
4046.2999165537212,0.00867118645229503,0.008527760235035325,0.005831330005363878,1197.12058341712,3,0
4054.0594602864116,0.008685937133072079,0.007078719340496131,0.005407184944783833,952.0676721955954,4,0
3924.5217152465348,0.008117959300277826,0.0071122110971571445,0.00602967989044035,1034.5551713048253,3,0
4016.429838518026,0.0076233912608448745,0.00826925911101957,0.00683510088292135,1065.053345737232,4,0
4095.221379594242,0.007270791739051214,0.008721898723341089,0.004630208237217154,1326.7948860853107,3,0
4120.588851895185,0.007554086769104503,0.007618313882139463,0.004459831711067452,1013.5065777175644,2,0
4119.019536807354,0.007331536377238335,0.008856832931016058,0.003583203144818155,1383.8561798455387,3,0
4067.942846880135,0.008896816343125754,0.008998504700004007,0.006658912707674846,1496.436658920197,3,0
3917.314931340279,0.008097754544404217,0.00883145480660766,0.0034708797499292143,1144.5535040984405,3,0
4111.922466571171,0.00822741410170795,0.007143810785273806,0.004912995639342179,971.3541562839811,3,0
4013.0712970415884,0.00821906078746724,0.008069087587933357,0.004639301988343836,1042.4494809790576,3,0
3946.1641504202626,0.007013759778853708,0.008584532523963129,0.005393693965418516,1044.3934389199849,2,0
3977.9881272214834,0.007630036514866997,0.0087977735060986,0.003961282282643622,904.4357583836656,2,0
4091.8589841893463,0.007551636226467125,0.007745713460592185,0.0069087048644453615,1049.9162386575276,4,0
3913.0054656495727,0.0086457927224566,0.007254812925806253,0.005778180488196116,933.7230963932119,3,0
4041.0068327614295,0.007238814868933886,0.007413077311038366,0.006715391137940036,1062.7552236100994,3,0
3959.2892452444516,0.008460286838349741,0.007932581516060966,0.005453022753455681,904.0084629920383,3,0
3955.901745755161,0.007756907813523047,0.008194919080201328,0.004148781479657298,1161.2804975131794,3,0
4045.477471453813,0.008508857456110465,0.007404012108519348,0.006033734557940919,882.473818094637,3,0
4049.598837625775,0.008565263729936549,0.008651755702997008,0.004575953049199865,1486.1498921671107,3,0
4111.14477128249,0.008604411428286055,0.007614364035019183,0.00614709115095616,1108.3757064792285,3,0
4119.383902494019,0.007671100989703198,0.007444388086355503,0.006808813877261391,1011.2446747090135,1,0
4062.281245979349,0.008718966938675425,0.007516605882615258,0.005850711135156354,1028.624351081493,3,0
3920.937169772951,0.007336392477714767,0.008758791919931449,0.0032054740762676834,1233.5794845254368,3,0
3866.7275442301525,0.007667638160587196,0.007212488252344278,0.0038818012540649217,1045.6497063865568,2,0
4104.301817002888,0.0077305202035021,0.007411602078858159,0.0057852694630896795,1075.62736972633,4,0
4140.470135006221,0.007884512477551862,0.007442798999102265,0.005224090318592801,1020.9065762073263,3,0
3996.079267627615,0.008252195269063428,0.007141378064364709,0.0050076358589259615,977.9834693557982,3,0
4148.425254026614,0.008519135295110648,0.00780001653035719,0.005139698777064217,1214.220299721045,3,0
3903.061693436222,0.008598591399149362,0.007424714011391552,0.006083179488837882,903.2724150212715,3,0
3950.945219089682,0.008994760708116615,0.00822188223182257,0.006626155514138123,1093.881864773479,3,0
4002.248976086165,0.008232458594571354,0.008720644015837895,0.006148584649871991,1268.4327759361167,3,0
4008.6414531004316,0.007127508270372403,0.008151053651438412,0.004595750970801616,1021.928376936325,2,0
3925.538216102369,0.007444604571279829,0.008304059629438565,0.004177798206574316,1063.4815415945031,2,0
4945.084438653026,0.010183652066045384,0.00969673489884521,0.002464084597513827,1710.7327274646407,3,0
5088.643903610866,0.008342728467861828,0.008335021189508176,0.004640728644647604,1299.0863130619823,4,0
5102.988770933238,0.009559530835183364,0.009662890433214203,0.005086776517195619,1483.3521572126722,4,0
4972.942863772468,0.010692510539609646,0.009370687844135564,0.006534603392566185,1544.9244837215806,4,0
5007.635891315336,0.011147320150086482,0.008856585307723668,0.005044206847043506,1434.709484147179,2,0
4916.2818459295295,0.011585825611268157,0.00979834931521248,0.0035767120473227396,1645.5955558659962,3,0
